,Composition,Formula,e_above_hull,A_atom,P_atom,R_atom,n_A
0,Ca4 Fe4 Co4 C24 N24,Ca4 Fe4 Co4 C24 N24,0.4185173499999999,Ca,Fe,Co,4.0
1,Mg4 Cr4 Os4 C24 N24,Mg4 Cr4 Os4 C24 N24,0.03918191000000015,Mg,Cr,Os,4.0
2,Ca4 Mn4 Fe4 C24 N24,Ca4 Mn4 Fe4 C24 N24,0.3826040933493342,Ca,Fe,Mn,4.0
3,Ca4 Mn4 Os4 C24 N24,Ca4 Mn4 Os4 C24 N24,0.4185173499999999,Ca,Mn,Os,4.0
4,Li4 Cr8 C24 N24,Li4 Cr8 C24 N24,0.0028601699999999397,Li,Cr,Cr,4.0
5,,,,,,,
6,Sr4 Cr4 Fe4 C24 N24,Sr4 Cr4 Fe4 C24 N24,0.005491380000000046,Sr,Fe,Cr,4.0
7,Sr4 V4 Ni4 C24 N24,Sr4 V4 Ni4 C24 N24,0.005491380000000046,Sr,Ni,V,4.0
8,Mg4 Mn4 V4 C24 N24,Mg4 Mn4 V4 C24 N24,0.03918191000000015,Mg,V,Mn,4.0
9,Li4 Fe4 Co4 C24 N24,Li4 Fe4 Co4 C24 N24,0.0028601699999999397,Li,Co,Fe,4.0
10,Sr4 In4 Os4 C24 N24,Sr4 In4 Os4 C24 N24,0.005491380000000046,Sr,In,Os,4.0
11,Mg4 In4 Os4 C24 N24,Mg4 In4 Os4 C24 N24,0.03918191000000015,Mg,In,Os,4.0
12,Na4 Co4 Os4 C24 N24,Na4 Co4 Os4 C24 N24,0.12850119249999992,Na,Co,Os,4.0
13,Li4 Mn4 Cr4 C24 N24,Li4 Mn4 Cr4 C24 N24,0.0028601699999999397,Li,Mn,Cr,4.0
14,,,,,,,
15,Ca4 Mn4 V4 C24 N24,Ca4 Mn4 V4 C24 N24,0.4185173499999999,Ca,Mn,V,4.0
16,Ca4 V4 Fe4 C24 N24,Ca4 V4 Fe4 C24 N24,0.4185173499999999,Ca,Fe,V,4.0
17,Na4 V4 Cr4 C24 N24,Na4 V4 Cr4 C24 N24,0.12850119249999992,Na,V,Cr,4.0
18,Ca4 Ni4 Os4 C24 N24,Ca4 Ni4 Os4 C24 N24,0.3313825619182218,Ca,Ni,Os,4.0
19,Li4 Co4 Os4 C24 N24,Li4 Co4 Os4 C24 N24,0.0028601699999999397,Li,Co,Os,4.0
20,K4 Co4 Os4 C24 N24,K4 Co4 Os4 C24 N24,0.10532603884933245,K,Co,Os,4.0
21,Na4 V4 In4 C24 N24,Na4 V4 In4 C24 N24,0.12850119249999992,Na,In,V,4.0
22,,,,,,,
23,Na4 V4 Cr4 C24 N24,Na4 V4 Cr4 C24 N24,0.12850119249999992,Na,Cr,V,4.0
24,Li4 Cr4 Co4 C24 N24,Li4 Cr4 Co4 C24 N24,0.0028601699999999397,Li,Co,Cr,4.0
25,Sr4 Zn4 Fe4 C24 N24,Sr4 Zn4 Fe4 C24 N24,0.005491380000000046,Sr,Zn,Fe,4.0
26,K4 Cr4 Cu4 C24 N24,K4 Cr4 Cu4 C24 N24,0.11553698000000001,K,Cu,Cr,4.0
27,K4 V4 Co4 C24 N24,K4 V4 Co4 C24 N24,0.11553698000000001,K,V,Co,4.0
28,Sr4 Cr4 Fe4 C24 N24,Sr4 Cr4 Fe4 C24 N24,0.005491380000000046,Sr,Cr,Fe,4.0
29,Mg4 Co4 Os4 C24 N24,Mg4 Co4 Os4 C24 N24,0.03918191000000015,Mg,Co,Os,4.0
30,Na4 Fe4 Co4 C24 N24,Na4 Fe4 Co4 C24 N24,0.12850119249999992,Na,Fe,Co,4.0
31,Mg4 Cr4 Fe4 C24 N24,Mg4 Cr4 Fe4 C24 N24,0.03918191000000015,Mg,Fe,Cr,4.0
32,Ca4 In4 Os4 C24 N24,Ca4 In4 Os4 C24 N24,0.4185173499999999,Ca,In,Os,4.0
33,,,,,,,
34,Mg4 Fe4 Ni4 C24 N24,Mg4 Fe4 Ni4 C24 N24,0.03918191000000015,Mg,Ni,Fe,4.0
35,Mg4 Cr4 Co4 C24 N24,Mg4 Cr4 Co4 C24 N24,0.03918191000000015,Mg,Cr,Co,4.0
36,Na4 V8 C24 N24,Na4 V8 C24 N24,0.12850119249999992,Na,V,V,4.0
37,K4 Mn4 V4 C24 N24,K4 Mn4 V4 C24 N24,0.11553698000000001,K,Mn,V,4.0
38,Li4 Cr4 Fe4 C24 N24,Li4 Cr4 Fe4 C24 N24,0.0028601699999999397,Li,Fe,Cr,4.0
39,Mg4 Fe4 Co4 C24 N24,Mg4 Fe4 Co4 C24 N24,0.03918191000000015,Mg,Fe,Co,4.0
40,Li4 V4 Co4 C24 N24,Li4 V4 Co4 C24 N24,0.0028601699999999397,Li,Co,V,4.0
41,Ca4 Mn4 Co4 C24 N24,Ca4 Mn4 Co4 C24 N24,0.4185173499999999,Ca,Co,Mn,4.0
